Date	SampleID	LibraryID	FullID	Total Reads	Mapped Reads	% Mapped Reads	Genome Size	Genome GC	(Any) Total Bases	% (Any) Total Bases	(Any) GC-Content	(Any) Coverage mean	(Any) Coverage median	(Unambiguous) Total Bases	% (Unambiguous) Total Bases	(Unambiguous) GC-Content	(Unambiguous) Coverage mean	(Unambiguous) Coverage median	SNPs	Deletions	Insertions	Uncovered	Substitutions (Including Stop Codons)
'2024-05-22	'6637-04	'illumina	'6637-04_illumina	'1462824	'1443427	'98.67	'4411532	'65.61	'4366952	'0.99	'65.55	'71.57	'73	'4247762	'0.96	'65.35	'73.30	'74	'2125	'352	'268	'44580	'1159
'2024-05-22	'6639-04	'illumina	'6639-04_illumina	'2836411	'2807979	'99.00	'4411532	'65.61	'4351974	'0.99	'65.59	'137.89	'141	'4295280	'0.97	'65.45	'139.56	'141	'862	'309	'111	'59558	'451
'2024-05-22	'6640-04	'illumina	'6640-04_illumina	'1396019	'1371423	'98.24	'4411532	'65.61	'4363875	'0.99	'65.58	'63.75	'65	'4263229	'0.97	'65.38	'65.01	'65	'920	'359	'118	'47657	'460
'2024-05-22	'6769-04	'illumina	'6769-04_illumina	'1418690	'1403197	'98.91	'4411532	'65.61	'4345903	'0.99	'65.55	'70.22	'71	'4265464	'0.97	'65.35	'71.36	'71	'2227	'501	'227	'65629	'1216
'2024-05-22	'6771-04	'illumina	'6771-04_illumina	'1761368	'1751658	'99.45	'4411532	'65.61	'4389469	'0.99	'65.58	'104.23	'105	'4349295	'0.99	'65.48	'105.13	'105	'871	'364	'146	'22063	'451
'2024-05-22	'6775-04	'illumina	'6775-04_illumina	'1736814	'1717255	'98.87	'4411532	'65.61	'4352358	'0.99	'65.55	'85.65	'87	'4272118	'0.97	'65.36	'87.06	'88	'2236	'492	'285	'59174	'1211
'2024-05-22	'6892-04	'illumina	'6892-04_illumina	'2315282	'2290088	'98.91	'4411532	'65.61	'4359426	'0.99	'65.57	'110.31	'112	'4307668	'0.98	'65.43	'111.50	'112	'2275	'508	'276	'52106	'1239
'2024-05-22	'6895-04	'illumina	'6895-04_illumina	'2410848	'2393301	'99.27	'4411532	'65.61	'4374284	'0.99	'65.57	'140.61	'142	'4334739	'0.98	'65.49	'141.82	'142	'2225	'460	'361	'37248	'1182
'2024-05-22	'6897-04	'illumina	'6897-04_illumina	'1912972	'1894485	'99.03	'4411532	'65.61	'4377117	'0.99	'65.55	'97.33	'99	'4304764	'0.98	'65.37	'98.78	'100	'2193	'617	'255	'34415	'1181
'2024-05-22	'7000-03	'illumina	'7000-03_illumina	'1614854	'1605234	'99.40	'4411532	'65.61	'4345634	'0.99	'65.57	'83.64	'85	'4267358	'0.97	'65.37	'85.01	'85	'856	'217	'119	'65898	'461
'2024-05-22	'7135-04	'illumina	'7135-04_illumina	'1419752	'1407892	'99.16	'4411532	'65.61	'4365589	'0.99	'65.57	'70.82	'72	'4278072	'0.97	'65.36	'72.08	'72	'1390	'443	'257	'45943	'733
'2024-05-22	'7514-04	'illumina	'7514-04_illumina	'1628304	'1619630	'99.47	'4411532	'65.61	'4355320	'0.99	'65.57	'96.29	'97	'4312318	'0.98	'65.47	'97.18	'97	'974	'339	'127	'56212	'488
'2024-05-22	'7516-04	'illumina	'7516-04_illumina	'1750221	'1740503	'99.44	'4411532	'65.61	'4355201	'0.99	'65.55	'89.97	'91	'4285666	'0.97	'65.38	'91.30	'91	'909	'190	'145	'56331	'468
'2024-05-22	'7517-04	'illumina	'7517-04_illumina	'1817740	'1802631	'99.17	'4411532	'65.61	'4387467	'0.99	'65.57	'90.27	'93	'4312168	'0.98	'65.39	'91.66	'93	'989	'343	'156	'24065	'500
'2024-05-22	'7520-04	'illumina	'7520-04_illumina	'1798400	'1789360	'99.50	'4411532	'65.61	'4382640	'0.99	'65.58	'105.84	'107	'4339733	'0.98	'65.48	'106.81	'107	'948	'514	'175	'28892	'507
'2024-05-22	'7538-03	'illumina	'7538-03_illumina	'2455371	'2430824	'99.00	'4411532	'65.61	'4391258	'1.00	'65.59	'123.36	'126	'4331629	'0.98	'65.43	'124.90	'127	'1011	'389	'179	'20274	'516
'2024-05-22	'8082-03	'illumina	'8082-03_illumina	'1903286	'1892667	'99.44	'4411532	'65.61	'4367741	'0.99	'65.56	'93.23	'95	'4299548	'0.97	'65.38	'94.57	'95	'977	'262	'148	'43791	'495
'2024-05-22	'8864-03	'illumina	'8864-03_illumina	'1350989	'1335457	'98.85	'4411532	'65.61	'4341922	'0.98	'65.54	'66.42	'67	'4256802	'0.96	'65.35	'67.56	'68	'2254	'452	'265	'69610	'1228
'2024-05-22	'8867-03	'illumina	'8867-03_illumina	'1547576	'1532489	'99.03	'4411532	'65.61	'4344450	'0.98	'65.55	'77.48	'79	'4268677	'0.97	'65.36	'78.68	'79	'2229	'543	'253	'67082	'1212
'2024-05-22	'8868-03	'illumina	'8868-03_illumina	'1257056	'1244447	'99.00	'4411532	'65.61	'4372399	'0.99	'65.54	'61.80	'62	'4281178	'0.97	'65.34	'62.91	'63	'2161	'510	'241	'39133	'1154
